PriceX,PriceY,sumX,sumXsqr,sumY,sumYsqr,sumXY,sumXlag,sumYlag,sumXsqrlag,sumYsqrlag,sumX_lagY,sumY_lagX,sumXY_lag,sumX_lagX,sumY_lagY,sumXprec,sumYprec,sumXsqrprec, sumYsqrprec,sumXYprec,gamma
75.68,71.02,148725.07,11207915.2649,143334.97,10409107.2569,10798874.3048,148649.39,143263.95,11202187.8025,10404063.4165,10794574.5914,10793700.0939,10793499.5112,11202513.4185,10404202.1476,148658.99,143272.97,11203548.6985,10405263.2569,10888540.6047,0.835944519161
72.63,69.31,148819.28,11221150.3656,143418.46,10420243.6232,10811020.6897,148746.65,143349.15,11215875.2487,10415439.7471,10806879.0262,10805985.6495,10805986.7044,11216005.7656,10415388.3744,148753.69,143355.35,11216848.3175,10416260.7511,10903698.2827,0.835944519161
70.16,68.08,148880.56,11229465.332,143468.06,10426715.119,10818389.8414,148810.4,143399.98,11224542.9064,10422080.2326,10814433.1493,10813512.3475,10813613.3486,11224598.3616,10421933.0271,148816.52,143404.75,11225364.2104,10422706.9629,10913410.0456,0.835944519161
70.97,69.85,148933.99,11236637.1699,143525.94,10434380.518,10825809.8308,148863.02,143456.09,11231600.429,10429501.4955,10821684.3965,10820923.1938,10820852.5763,11231663.1485,10429525.6057,148869.21,143463.42,11232440.7215,10430471.7676,10921262.5098,0.835944519161
71.32,69.52,149010.6,11247089.861,143588.81,10442756.8509,10835207.8179,148939.28,143519.29,11242003.3186,10437923.8205,10831156.947,10830270.4302,10830249.6515,11242145.5046,10437901.301,148946.67,143525.88,11243002.8161,10438796.666,10932335.6604,0.835944519161
67.64,66.56,149072.45,11255446.3391,143633.33,10448569.7133,10842252.9886,149004.81,143566.77,11250871.1695,10444139.4797,10838404.4926,10837559.1736,10837750.8702,11250748.118,10443915.0026,149008.4,143570.38,11251343.9366,10444607.0108,10941538.6574,0.835944519161
70.51,68.44,149117.92,11261554.5954,143674.14,10453983.583,10847999.9584,149047.41,143605.7,11256582.9353,10449299.5494,10843886.8552,10842895.1258,10843174.254,11256513.9832,10448985.1639,149051.69,143607.87,11257168.1825,10449591.8701,10947601.9046,0.835944519161
68.36,70.23,149122.98,11262243.5634,143693.3,10456580.3836,10849655.2466,149054.62,143623.07,11257570.4738,10451648.1307,10845262.0677,10844677.4348,10844854.3238,11257192.4826,10451436.8137,149054.37,143626.73,11257536.2313,10452148.8187,10949278.9092,0.835944519161
71.65,70.12,149136.83,11264199.3767,143720.1,10460292.887,10852496.612,149065.18,143649.98,11259065.6542,10455376.0726,10847955.9411,10847003.505,10847472.514,11258753.9402,10454884.4354,149065.89,143649.53,11259166.8931,10455312.7621,10951936.9441,0.835944519161
73.66,73.06,149121.97,11262041.1967,143695.32,10456741.1102,10849635.4882,149048.31,143622.26,11256615.4011,10451403.3466,10844543.9794,10843740.8252,10844253.8886,11256112.0252,10450863.4504,149046.41,143621.2,11256331.8831,10451247.3358,10949175.5138,0.835944519161
